湖南,#genre#
芒果精选,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001025000000196968/main.m3u8?IASHttpSessionId=OTT
湖南教育,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001016000000368716/main.m3u8?IASHttpSessionId=OTT
浏阳,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000026/main.m3u8?IASHttpSessionId=OTT
长沙新闻,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000048/main.m3u8?IASHttpSessionId=OTT
长沙政法,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000049/main.m3u8?IASHttpSessionId=OTT
央视频道,#genre#
CCTV1,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV6,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000054/main.m3u8?IASHttpSessionId=OTT
CCTV7,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000055/main.m3u8?IASHttpSessionId=OTT
CCTV8,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000056/main.m3u8?IASHttpSessionId=OTT
CCTV9,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000057/main.m3u8?IASHttpSessionId=OTT
CCTV10,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000058/main.m3u8?IASHttpSessionId=OTT
CCTV11,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001019000000352943/main.m3u8?IASHttpSessionId=OTT
CCTV12,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000060/main.m3u8?IASHttpSessionId=OTT
CCTV13,http://[2409:8087:5050:20::3023]/180000001001/00000001000000000045000000287929/main.m3u8?IASHttpSessionId=OTT
CCTV14,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000059/main.m3u8?IASHttpSessionId=OTT
CCTV15,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001019000000352948/main.m3u8?IASHttpSessionId=OTT
CGTN,http://[2409:8087:5050:20::3023]/180000001001/00000001000000000002000000028019/main.m3u8?IASHttpSessionId=OTT
CGTN纪录,http://[2409:8087:5050:20::3023]/180000001001/00000001000000000002000000028012/main.m3u8?IASHttpSessionId=OTT
CCTV5+,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000061/main.m3u8?IASHttpSessionId=OTT
CCTV17,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001018000000188913/main.m3u8?IASHttpSessionId=OTT
CETV1,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001007000000063289/main.m3u8?IASHttpSessionId=OTT
卫视频道,#genre#
江苏卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000043/main.m3u8?IASHttpSessionId=OTT
浙江卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000042/main.m3u8?IASHttpSessionId=OTT#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
安徽卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001007000000063659/main.m3u8?IASHttpSessionId=OTT
北京卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000062/main.m3u8?IASHttpSessionId=OTT
天津卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000063/main.m3u8?IASHttpSessionId=OTT
东方卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000064/main.m3u8?IASHttpSessionId=OTT
深圳卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000065/main.m3u8?IASHttpSessionId=OTT
辽宁卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001007000000063293/main.m3u8?IASHttpSessionId=OTT
湖北卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000066/main.m3u8?IASHttpSessionId=OTT
山东卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000067/main.m3u8?IASHttpSessionId=OTT
黑龙江卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000068/main.m3u8?IASHttpSessionId=OTT
贵州卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001007000000062998/main.m3u8?IASHttpSessionId=OTT
河北卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001007000000063290/main.m3u8?IASHttpSessionId=OTT
甘肃卫视,http://[2409:8087:5050:20::3023]/180000001001/00000001000000000045000000287932/main.m3u8?IASHttpSessionId=OTT

数字频道,#genre#
TBS,http://143.244.60.30/TBS/index.m3u8
Fight,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8


电影轮播,#genre#
周星驰,http://diyp.zxxoo.work/huya/11342412
林正英,http://diyp.zxxoo.work/huya/11342421
沈腾,http://diyp.zxxoo.work/huya/11601968
吐槽大会,http://diyp.zxxoo.work/huya/21059555
铁齿铜牙纪晓岚,http://diyp.zxxoo.work/huya/11342396
斗破苍穹,http://diyp.zxxoo.work/huya/11336572
陈翔六点半,http://diyp.zxxoo.work/huya/11274154
庆余年,http://diyp.zxxoo.work/huya/11352960
周星驰,http://diyp.zxxoo.work/douyu/122402
刘华强,http://diyp.zxxoo.work/douyu/2726977
电影1,http://diyp.zxxoo.work/douyu/3637778
电影2,http://diyp.zxxoo.work/douyu/85894
电影3,http://diyp.zxxoo.work/douyu/20415
电影4,http://diyp.zxxoo.work/douyu/276200
电影5,http://diyp.zxxoo.work/douyu/4332
电影6,http://diyp.zxxoo.work/douyu/323876
电影7,http://diyp.zxxoo.work/douyu/263824
电影8,http://diyp.zxxoo.work/douyu/747764
粤语电影,http://diyp.zxxoo.work/douyu/6566671
电视剧3,http://diyp.zxxoo.work/douyu/7459925
电视剧5,http://diyp.zxxoo.work/douyu/11850504
爱情公寓,http://diyp.zxxoo.work/douyu/6566658
龙门镖局,http://diyp.zxxoo.work/douyu/9650860
庆余年,http://diyp.zxxoo.work/douyu/5062195
炊事班的故事,http://diyp.zxxoo.work/douyu/8387899
经典小品,http://diyp.zxxoo.work/douyu/9067836
王大锤,http://diyp.zxxoo.work/douyu/9220456
开心锤锤,http://diyp.zxxoo.work/douyu/9018297
雍正王朝,http://diyp.zxxoo.work/douyu/11544610
举起手来-惊险抗日,https://lunbo.freetv.top/yy/1382736877
港片电影集,https://lunbo.freetv.top/yy/1455225203


电影轮播(EXO解码),#genre#
周星驰,http://ygbh.live/huya.php?id=11342412
成龙,http://ygbh.live/huya.php?id=11342386
林正英,http://ygbh.live/huya.php?id=11342421
沈腾,http://ygbh.live/huya.php?id=11601968
徐克,http://ygbh.live/huya.php?id=11352909
斗罗大陆,http://ygbh.live/huya.php?id=11352906
小马的直播间,http://ygbh.live/huya.php?id=23749096
张卫健版西游记,http://ygbh.live/huya.php?id=23728660
鹿鼎记小春版,http://ygbh.live/huya.php?id=23865080
天龙八部97版,http://ygbh.live/huya.php?id=23903123
刑事侦缉档案,http://ygbh.live/huya.php?id=23734169
寻秦记,http://ygbh.live/huya.php?id=23864973
法证先锋,http://ygbh.live/huya.php?id=23863804
陀枪师姐,http://ygbh.live/huya.php?id=23860039
笑傲江湖,http://ygbh.live/huya.php?id=23865142
洗冤录,http://ygbh.live/huya.php?id=23903130
创世纪,http://ygbh.live/huya.php?id=23749083
使徒行者,http://ygbh.live/huya.php?id=23734256
金枝欲孽,http://ygbh.live/huya.php?id=23865036
大唐双龙传,http://ygbh.live/huya.php?id=23728674
笑看风云,http://ygbh.live/huya.php?id=23865058
大时代,http://ygbh.live/huya.php?id=23865161
电影_漫威,http://ygbh.live/huya.php?id=11602034
电影_武侠,http://ygbh.live/huya.php?id=11342427
电影_罪犯,http://ygbh.live/huya.php?id=11352962
电影_海盗,http://ygbh.live/huya.php?id=21059595
电影_赛车,http://ygbh.live/huya.php?id=11279247
电影_玄幻,http://ygbh.live/huya.php?id=11342414
电影_战争,http://ygbh.live/huya.php?id=21059592
电影_喜剧,http://ygbh.live/huya.php?id=11352877
电影_周星星,http://ygbh.live/huya.php?id=11336587
电影_梁家辉,http://ygbh.live/huya.php?id=11342429
电影_小鬼头,http://ygbh.live/huya.php?id=11352963
电影_八点档,http://ygbh.live/huya.php?id=880261
电影_丧尸片,http://ygbh.live/huya.php?id=21059578
电影_谍战片,http://ygbh.live/huya.php?id=21059587
电影_犯罪片,http://ygbh.live/huya.php?id=11352974
电影_古装片,http://ygbh.live/huya.php?id=11336590
电影_动作电影,http://ygbh.live/huya.php?id=11602077
电影_喜乐影院,http://ygbh.live/huya.php?id=21059580
剧集_纪晓岚,http://ygbh.live/huya.php?id=11342396
剧集_庆余年,http://ygbh.live/huya.php?id=11352960
搞笑_陈翔六点半,http://ygbh.live/huya.php?id=11274154
电影_超异能族,http://ygbh.live/huya.php?id=21059586
电影_枪战,http://ygbh.live/huya.php?id=21059579


